algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_working_bond,peak_pretruncate_rank,svd_calls,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,6,16,approximate_diagnostic,2.5632037082315993,4,1.4367962917684007,0.35919907294210018,0.101574198,0.101061418,0.199321398,2.5632037082315993,2.5632037082315993,3,1,411893760,NA,9444,16,31,32,285,47,0.20098942259559119,0.68353203721617939,0.015190563,612,516,128,1,true
truncated_boundary_mps_float64,6,32,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.122031216,0.121725791,0.122691340,4.0000000000001208,4.0000000000001208,3,1,381595648,NA,11024,31,31,31,285,0,1.2860242116757658e-28,6.6975050032809352e-28,0.026271410,612,516,128,1,false
truncated_boundary_mps_float64,6,64,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.124427835,0.124175230,0.128081900,4.0000000000001208,4.0000000000001208,3,1,418414592,NA,11024,31,31,31,285,0,1.2860242116757658e-28,6.6975050032809352e-28,0.025012683,612,516,128,1,false
truncated_boundary_mps_float64,6,128,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.128320105,0.127490079,0.131037491,4.0000000000001208,4.0000000000001208,3,1,400293888,NA,11024,31,31,31,285,0,1.2860242116757658e-28,6.6975050032809352e-28,0.026834655,612,516,128,1,false
truncated_boundary_mps_float64,7,0,floating_uncapped_check_pass,40.000000000001918,40,1.9184653865522705e-12,4.7961634663806763e-14,1.149128025,1.114815583,1.343432500,40.000000000001918,40.000000000001918,3,1,672108544,NA,81952,86,90,90,408,0,6.3577557619529667e-29,1.2312582528152334e-27,0.395434849,833,721,128,1,false
truncated_boundary_mps_float64,7,4,approximate_diagnostic,1.056028371336946,40,38.943971628663057,0.97359929071657647,0.045134904,0.045091592,0.051103565,1.056028371336946,1.056028371336946,3,1,402202624,NA,780,4,7,8,408,56,0.47098993647158016,3.1739865946376646,0.003354291,833,721,128,1,true
truncated_boundary_mps_float64,7,8,approximate_diagnostic,1.0418042017047326,40,38.958195798295264,0.97395489495738163,0.113065052,0.103407124,0.144018915,1.0418042017047326,1.0418042017047326,3,1,398139392,NA,2542,8,15,15,408,81,0.28416561743548124,2.7635901467447286,0.009099849,833,721,128,1,true
truncated_boundary_mps_float64,7,16,approximate_diagnostic,3.0000301418715076,40,36.999969858128495,0.92499924645321241,0.156200085,0.156188564,0.162461173,3.0000301418715076,3.0000301418715076,3,1,391512064,NA,7928,16,28,28,408,47,0.23319596005661447,1.8296583575761267,0.019599415,833,721,128,1,true
truncated_boundary_mps_float64,7,32,approximate_diagnostic,13.053664274244468,40,26.946335725755532,0.67365839314388831,0.548267642,0.545626029,0.548575139,13.053664274244468,13.053664274244468,3,1,392515584,NA,45414,32,63,64,408,55,0.19369697259567423,0.99157643726527367,0.140901654,833,721,128,1,true
truncated_boundary_mps_float64,7,64,approximate_diagnostic,33.129031498355836,40,6.870968501644164,0.17177421254110409,1.856942473,1.628942921,1.933494148,33.129031498355836,33.129031498355836,3,1,680742912,NA,103438,64,128,128,408,26,0.064691137748737013,0.25009295674468873,0.790060380,833,721,128,1,true
truncated_boundary_mps_float64,7,128,floating_uncapped_check_pass,40.000000000001918,40,1.9184653865522705e-12,4.7961634663806763e-14,1.303792100,1.077107554,1.523352939,40.000000000001918,40.000000000001918,3,1,419270656,NA,81952,86,90,90,408,0,6.3577557619529667e-29,1.2312582528152334e-27,0.592271529,833,721,128,1,false
