algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_pretruncate_rank,svd_calls,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,6,16,approximate_diagnostic,0.003197289494542995,4,3.9968027105054569,0.99920067762636422,0.022323374,0.020250511,0.030259764,0.003197289494542995,0.003197289494542995,3,1,443150336,NA,5456,16,32,285,51,0.16666666666666585,0.99952298228831715,0.014844887,612,516,128,1,true
truncated_boundary_mps_float64,6,32,approximate_diagnostic,1.904685684550145,4,2.0953143154498548,0.5238285788624637,0.080035505,0.079335321,0.081600987,1.904685684550145,1.904685684550145,3,1,384917504,NA,16264,32,64,285,28,0.051422063878620708,0.24009469969541755,0.060869362,612,516,128,1,true
truncated_boundary_mps_float64,6,64,floating_uncapped_check_pass,3.9999999999999778,4,2.2204460492503131e-14,5.5511151231257827e-15,0.038733076,0.036815267,0.047951994,3.9999999999999778,3.9999999999999778,3,1,523878400,NA,11024,33,33,285,0,4.6515632467483048e-29,4.9352022983203598e-28,0.029661294,612,516,128,1,false
truncated_boundary_mps_float64,6,128,floating_uncapped_check_pass,3.9999999999999778,4,2.2204460492503131e-14,5.5511151231257827e-15,0.040792428,0.035887928,0.047368571,3.9999999999999778,3.9999999999999778,3,1,499060736,NA,11024,33,33,285,0,4.6515632467483048e-29,4.9352022983203598e-28,0.026886948,612,516,128,1,false
truncated_boundary_mps_float64,7,0,floating_uncapped_check_pass,39.999999999999538,40,4.6185277824406512e-13,1.1546319456101628e-14,0.529166682,0.526015859,0.769634274,39.999999999999538,39.999999999999538,3,1,645918720,NA,81952,90,90,408,0,4.3524498836397142e-29,9.8815564074132326e-28,0.424680670,833,721,128,1,false
truncated_boundary_mps_float64,7,4,approximate_diagnostic,-0.90269485693989715,40,40.902694856939895,1.0225673714234973,0.005365649,0.005285297,0.005422900,-0.90269485693989715,-0.90269485693989715,3,1,370171904,NA,704,4,8,408,104,0.25000530757530476,2.973139291093041,0.003348520,833,721,128,1,true
truncated_boundary_mps_float64,7,8,approximate_diagnostic,-0.0004563721936955008,40,40.000456372193696,1.0000114093048424,0.012288030,0.012171887,0.012307570,-0.0004563721936955008,-0.0004563721936955008,3,1,372318208,NA,2256,8,16,408,112,0.20392000662514845,1.8235733426831757,0.008407708,833,721,128,1,true
truncated_boundary_mps_float64,7,16,approximate_diagnostic,3.7353280229450974,40,36.264671977054903,0.90661679942637252,0.035610941,0.035603181,0.037954309,3.7353280229450974,3.7353280229450974,3,1,377561088,NA,7912,16,32,408,118,0.16438356164383547,1.6128106577188892,0.025496185,833,721,128,1,true
truncated_boundary_mps_float64,7,32,approximate_diagnostic,3.9682017149803652,40,36.031798285019633,0.90079495712549085,0.185611770,0.184642391,0.186776875,3.9682017149803652,3.9682017149803652,3,1,460574720,NA,25936,32,64,408,77,0.11724688572393466,1.1019882236272556,0.147310554,833,721,128,1,true
truncated_boundary_mps_float64,7,64,approximate_diagnostic,20.409689435465143,40,19.590310564534857,0.48975776411337141,0.726575656,0.614320081,0.804637759,20.409689435465143,20.409689435465143,3,1,666320896,NA,71626,64,121,408,38,0.051021515706585044,0.32436051423882939,0.608388384,833,721,128,1,true
truncated_boundary_mps_float64,7,128,floating_uncapped_check_pass,39.999999999999538,40,4.6185277824406512e-13,1.1546319456101628e-14,0.580735841,0.573159666,0.746570835,39.999999999999538,39.999999999999538,3,1,446570496,NA,81952,90,90,408,0,4.3524498836397142e-29,9.8815564074132326e-28,0.461211793,833,721,128,1,false
